LncRNAs	LncRNA1_id	Region	Organism
TCONS_00004075	hsa_TCONS_00004075	ACC vs CB	Human
TCONS_00004317	hsa_TCONS_00004317	ACC vs CB	Human
TCONS_00004351	hsa_TCONS_00004351	ACC vs CB	Human
TCONS_00004540	hsa_TCONS_00004540	ACC vs CB	Human
TCONS_00004681	hsa_TCONS_00004681	ACC vs CB	Human
TCONS_00004777	hsa_TCONS_00004777	ACC vs CB	Human
TCONS_00004843	hsa_TCONS_00004843	ACC vs CB	Human
TCONS_00004874	hsa_TCONS_00004874	ACC vs CB	Human
TCONS_00004879	hsa_TCONS_00004879	ACC vs CB	Human
TCONS_00004892	hsa_TCONS_00004892	ACC vs CB	Human
TCONS_00004904	hsa_TCONS_00004904	ACC vs CB	Human
TCONS_00004912	hsa_TCONS_00004912	ACC vs CB	Human
TCONS_00004917	hsa_TCONS_00004917	ACC vs CB	Human
TCONS_00004919	hsa_TCONS_00004919	ACC vs CB	Human
TCONS_00004922	hsa_TCONS_00004922	ACC vs CB	Human
TCONS_00004952	hsa_TCONS_00004952	ACC vs CB	Human
TCONS_00004978	hsa_TCONS_00004978	ACC vs CB	Human
TCONS_00004984	hsa_TCONS_00004984	ACC vs CB	Human
TCONS_00005005	hsa_TCONS_00005005	ACC vs CB	Human
TCONS_00005042	hsa_TCONS_00005042	ACC vs CB	Human
TCONS_00005265	hsa_TCONS_00005265	ACC vs CB	Human
TCONS_00005313	hsa_TCONS_00005313	ACC vs CB	Human
TCONS_00005338	hsa_TCONS_00005338	ACC vs CB	Human
TCONS_00005360	hsa_TCONS_00005360	ACC vs CB	Human
TCONS_00005518	hsa_TCONS_00005518	ACC vs CB	Human
TCONS_00005533	hsa_TCONS_00005533	ACC vs CB	Human
TCONS_00005568	hsa_TCONS_00005568	ACC vs CB	Human
TCONS_00005755	hsa_TCONS_00005755	ACC vs CB	Human
TCONS_00005841	hsa_TCONS_00005841	ACC vs CB	Human
TCONS_00005984	hsa_TCONS_00005984	ACC vs CB	Human
TCONS_00006054	hsa_TCONS_00006054	ACC vs CB	Human
TCONS_00006293	hsa_TCONS_00006293	ACC vs CB	Human
TCONS_00006309	hsa_TCONS_00006309	ACC vs CB	Human
TCONS_00006313	hsa_TCONS_00006313	ACC vs CB	Human
TCONS_00006361	hsa_TCONS_00006361	ACC vs CB	Human
TCONS_00006528	hsa_TCONS_00006528	ACC vs CB	Human
TCONS_00006595	hsa_TCONS_00006595	ACC vs CB	Human
TCONS_00006750	hsa_TCONS_00006750	ACC vs CB	Human
TCONS_00006816	hsa_TCONS_00006816	ACC vs CB	Human
TCONS_00006933	hsa_TCONS_00006933	ACC vs CB	Human
TCONS_00006949	hsa_TCONS_00006949	ACC vs CB	Human
TCONS_00007025	hsa_TCONS_00007025	ACC vs CB	Human
TCONS_00007037	hsa_TCONS_00007037	ACC vs CB	Human
TCONS_00007126	hsa_TCONS_00007126	ACC vs CB	Human
TCONS_00007137	hsa_TCONS_00007137	ACC vs CB	Human
TCONS_00007141	hsa_TCONS_00007141	ACC vs CB	Human
TCONS_00007142	hsa_TCONS_00007142	ACC vs CB	Human
TCONS_00007144	hsa_TCONS_00007144	ACC vs CB	Human
TCONS_00007196	hsa_TCONS_00007196	ACC vs CB	Human
TCONS_00007232	hsa_TCONS_00007232	ACC vs CB	Human
TCONS_00007275	hsa_TCONS_00007275	ACC vs CB	Human
TCONS_00007279	hsa_TCONS_00007279	ACC vs CB	Human
TCONS_00007404	hsa_TCONS_00007404	ACC vs CB	Human
TCONS_00007413	hsa_TCONS_00007413	ACC vs CB	Human
TCONS_00007512	hsa_TCONS_00007512	ACC vs CB	Human
TCONS_00007553	hsa_TCONS_00007553	ACC vs CB	Human
TCONS_00007775	hsa_TCONS_00007775	ACC vs CB	Human
TCONS_00007782	hsa_TCONS_00007782	ACC vs CB	Human
TCONS_00007786	hsa_TCONS_00007786	ACC vs CB	Human
TCONS_00007802	hsa_TCONS_00007802	ACC vs CB	Human
TCONS_00007859	hsa_TCONS_00007859	ACC vs CB	Human
TCONS_00007860	hsa_TCONS_00007860	ACC vs CB	Human
TCONS_00007993	hsa_TCONS_00007993	ACC vs CB	Human
TCONS_00008012	hsa_TCONS_00008012	ACC vs CB	Human
TCONS_00008024	hsa_TCONS_00008024	ACC vs CB	Human
TCONS_00008134	hsa_TCONS_00008134	ACC vs CB	Human
TCONS_00008219	hsa_TCONS_00008219	ACC vs CB	Human
TCONS_00008264	hsa_TCONS_00008264	ACC vs CB	Human
TCONS_00008330	hsa_TCONS_00008330	ACC vs CB	Human
TCONS_00008866	hsa_TCONS_00008866	ACC vs CB	Human
TCONS_00008880	hsa_TCONS_00008880	ACC vs CB	Human
TCONS_00009082	hsa_TCONS_00009082	ACC vs CB	Human
TCONS_00009122	hsa_TCONS_00009122	ACC vs CB	Human
TCONS_00009158	hsa_TCONS_00009158	ACC vs CB	Human
TCONS_00009159	hsa_TCONS_00009159	ACC vs CB	Human
TCONS_00009178	hsa_TCONS_00009178	ACC vs CB	Human
TCONS_00009179	hsa_TCONS_00009179	ACC vs CB	Human
TCONS_00009181	hsa_TCONS_00009181	ACC vs CB	Human
TCONS_00009242	hsa_TCONS_00009242	ACC vs CB	Human
TCONS_00009379	hsa_TCONS_00009379	ACC vs CB	Human
TCONS_00009390	hsa_TCONS_00009390	ACC vs CB	Human
TCONS_00009406	hsa_TCONS_00009406	ACC vs CB	Human
TCONS_00009510	hsa_TCONS_00009510	ACC vs CB	Human
TCONS_00009520	hsa_TCONS_00009520	ACC vs CB	Human
TCONS_00009655	hsa_TCONS_00009655	ACC vs CB	Human
TCONS_00009665	hsa_TCONS_00009665	ACC vs CB	Human
TCONS_00009755	hsa_TCONS_00009755	ACC vs CB	Human
TCONS_00009771	hsa_TCONS_00009771	ACC vs CB	Human
TCONS_00009839	hsa_TCONS_00009839	ACC vs CB	Human
TCONS_00009878	hsa_TCONS_00009878	ACC vs CB	Human
TCONS_00009920	hsa_TCONS_00009920	ACC vs CB	Human
TCONS_00010031	hsa_TCONS_00010031	ACC vs CB	Human
TCONS_00010112	hsa_TCONS_00010112	ACC vs CB	Human
TCONS_00010117	hsa_TCONS_00010117	ACC vs CB	Human
TCONS_00010390	hsa_TCONS_00010390	ACC vs CB	Human
TCONS_00010437	hsa_TCONS_00010437	ACC vs CB	Human
TCONS_00010509	hsa_TCONS_00010509	ACC vs CB	Human
TCONS_00010517	hsa_TCONS_00010517	ACC vs CB	Human
TCONS_00010548	hsa_TCONS_00010548	ACC vs CB	Human
TCONS_00010612	hsa_TCONS_00010612	ACC vs CB	Human
TCONS_00010893	hsa_TCONS_00010893	ACC vs CB	Human
TCONS_00011005	hsa_TCONS_00011005	ACC vs CB	Human
TCONS_00011149	hsa_TCONS_00011149	ACC vs CB	Human
TCONS_00011154	hsa_TCONS_00011154	ACC vs CB	Human
TCONS_00011176	hsa_TCONS_00011176	ACC vs CB	Human
TCONS_00011195	hsa_TCONS_00011195	ACC vs CB	Human
TCONS_00011350	hsa_TCONS_00011350	ACC vs CB	Human
TCONS_00011389	hsa_TCONS_00011389	ACC vs CB	Human
TCONS_00011435	hsa_TCONS_00011435	ACC vs CB	Human
TCONS_00011524	hsa_TCONS_00011524	ACC vs CB	Human
TCONS_00011538	hsa_TCONS_00011538	ACC vs CB	Human
TCONS_00011597	hsa_TCONS_00011597	ACC vs CB	Human
TCONS_00011839	hsa_TCONS_00011839	ACC vs CB	Human
TCONS_00011858	hsa_TCONS_00011858	ACC vs CB	Human
TCONS_00011870	hsa_TCONS_00011870	ACC vs CB	Human
TCONS_00012031	hsa_TCONS_00012031	ACC vs CB	Human
TCONS_00012059	hsa_TCONS_00012059	ACC vs CB	Human
TCONS_00012115	hsa_TCONS_00012115	ACC vs CB	Human
TCONS_00012151	hsa_TCONS_00012151	ACC vs CB	Human
TCONS_00012155	hsa_TCONS_00012155	ACC vs CB	Human
TCONS_00012157	hsa_TCONS_00012157	ACC vs CB	Human
TCONS_00012173	hsa_TCONS_00012173	ACC vs CB	Human
TCONS_00012176	hsa_TCONS_00012176	ACC vs CB	Human
TCONS_00012258	hsa_TCONS_00012258	ACC vs CB	Human
TCONS_00012264	hsa_TCONS_00012264	ACC vs CB	Human
TCONS_00012270	hsa_TCONS_00012270	ACC vs CB	Human
TCONS_00012274	hsa_TCONS_00012274	ACC vs CB	Human
TCONS_00012307	hsa_TCONS_00012307	ACC vs CB	Human
TCONS_00012414	hsa_TCONS_00012414	ACC vs CB	Human
TCONS_00012436	hsa_TCONS_00012436	ACC vs CB	Human
TCONS_00012551	hsa_TCONS_00012551	ACC vs CB	Human
TCONS_00012617	hsa_TCONS_00012617	ACC vs CB	Human
TCONS_00012736	hsa_TCONS_00012736	ACC vs CB	Human
TCONS_00012743	hsa_TCONS_00012743	ACC vs CB	Human
TCONS_00012787	hsa_TCONS_00012787	ACC vs CB	Human
TCONS_00012879	hsa_TCONS_00012879	ACC vs CB	Human
TCONS_00012973	hsa_TCONS_00012973	ACC vs CB	Human
TCONS_00012987	hsa_TCONS_00012987	ACC vs CB	Human
TCONS_00013048	hsa_TCONS_00013048	ACC vs CB	Human
TCONS_00013161	hsa_TCONS_00013161	ACC vs CB	Human
TCONS_00013203	hsa_TCONS_00013203	ACC vs CB	Human
TCONS_00013266	hsa_TCONS_00013266	ACC vs CB	Human
TCONS_00013302	hsa_TCONS_00013302	ACC vs CB	Human
TCONS_00013313	hsa_TCONS_00013313	ACC vs CB	Human
TCONS_00013315	hsa_TCONS_00013315	ACC vs CB	Human
TCONS_00013316	hsa_TCONS_00013316	ACC vs CB	Human
TCONS_00013338	hsa_TCONS_00013338	ACC vs CB	Human
TCONS_00013346	hsa_TCONS_00013346	ACC vs CB	Human
TCONS_00013397	hsa_TCONS_00013397	ACC vs CB	Human
TCONS_00013403	hsa_TCONS_00013403	ACC vs CB	Human
TCONS_00013445	hsa_TCONS_00013445	ACC vs CB	Human
TCONS_00013553	hsa_TCONS_00013553	ACC vs CB	Human
TCONS_00013594	hsa_TCONS_00013594	ACC vs CB	Human
TCONS_00013824	hsa_TCONS_00013824	ACC vs CB	Human
TCONS_00013850	hsa_TCONS_00013850	ACC vs CB	Human
TCONS_00013851	hsa_TCONS_00013851	ACC vs CB	Human
TCONS_00013852	hsa_TCONS_00013852	ACC vs CB	Human
TCONS_00013871	hsa_TCONS_00013871	ACC vs CB	Human
TCONS_00014294	hsa_TCONS_00014294	ACC vs CB	Human
TCONS_00014296	hsa_TCONS_00014296	ACC vs CB	Human
TCONS_00014641	hsa_TCONS_00014641	ACC vs CB	Human
TCONS_00014682	hsa_TCONS_00014682	ACC vs CB	Human
TCONS_00014872	hsa_TCONS_00014872	ACC vs CB	Human
TCONS_00014977	hsa_TCONS_00014977	ACC vs CB	Human
TCONS_00015024	hsa_TCONS_00015024	ACC vs CB	Human
TCONS_00015032	hsa_TCONS_00015032	ACC vs CB	Human
TCONS_00015035	hsa_TCONS_00015035	ACC vs CB	Human
TCONS_00015085	hsa_TCONS_00015085	ACC vs CB	Human
TCONS_00015253	hsa_TCONS_00015253	ACC vs CB	Human
TCONS_00015990	hsa_TCONS_00015990	ACC vs CB	Human
TCONS_00016043	hsa_TCONS_00016043	ACC vs CB	Human
TCONS_00016118	hsa_TCONS_00016118	ACC vs CB	Human
TCONS_00016308	hsa_TCONS_00016308	ACC vs CB	Human
TCONS_00016347	hsa_TCONS_00016347	ACC vs CB	Human
TCONS_00016418	hsa_TCONS_00016418	ACC vs CB	Human
TCONS_00016451	hsa_TCONS_00016451	ACC vs CB	Human
TCONS_00016491	hsa_TCONS_00016491	ACC vs CB	Human
TCONS_00016523	hsa_TCONS_00016523	ACC vs CB	Human
TCONS_00016531	hsa_TCONS_00016531	ACC vs CB	Human
TCONS_00016683	hsa_TCONS_00016683	ACC vs CB	Human
TCONS_00016691	hsa_TCONS_00016691	ACC vs CB	Human
TCONS_00016775	hsa_TCONS_00016775	ACC vs CB	Human
TCONS_00016839	hsa_TCONS_00016839	ACC vs CB	Human
TCONS_00016896	hsa_TCONS_00016896	ACC vs CB	Human
TCONS_00017035	hsa_TCONS_00017035	ACC vs CB	Human
TCONS_00017038	hsa_TCONS_00017038	ACC vs CB	Human
TCONS_00017049	hsa_TCONS_00017049	ACC vs CB	Human
TCONS_00017311	hsa_TCONS_00017311	ACC vs CB	Human
TCONS_00017705	hsa_TCONS_00017705	ACC vs CB	Human
TCONS_00017721	hsa_TCONS_00017721	ACC vs CB	Human
TCONS_00017737	hsa_TCONS_00017737	ACC vs CB	Human
TCONS_00017754	hsa_TCONS_00017754	ACC vs CB	Human
TCONS_00017805	hsa_TCONS_00017805	ACC vs CB	Human
TCONS_00017866	hsa_TCONS_00017866	ACC vs CB	Human
TCONS_00017872	hsa_TCONS_00017872	ACC vs CB	Human
TCONS_00017897	hsa_TCONS_00017897	ACC vs CB	Human
TCONS_00018049	hsa_TCONS_00018049	ACC vs CB	Human
TCONS_00018052	hsa_TCONS_00018052	ACC vs CB	Human
TCONS_00018054	hsa_TCONS_00018054	ACC vs CB	Human
TCONS_00018056	hsa_TCONS_00018056	ACC vs CB	Human
TCONS_00018200	hsa_TCONS_00018200	ACC vs CB	Human
TCONS_00018221	hsa_TCONS_00018221	ACC vs CB	Human
TCONS_00018368	hsa_TCONS_00018368	ACC vs CB	Human
TCONS_00018447	hsa_TCONS_00018447	ACC vs CB	Human
TCONS_00018480	hsa_TCONS_00018480	ACC vs CB	Human
TCONS_00018750	hsa_TCONS_00018750	ACC vs CB	Human
TCONS_00018751	hsa_TCONS_00018751	ACC vs CB	Human
TCONS_00018814	hsa_TCONS_00018814	ACC vs CB	Human
TCONS_00019012	hsa_TCONS_00019012	ACC vs CB	Human
TCONS_00019105	hsa_TCONS_00019105	ACC vs CB	Human
TCONS_00019123	hsa_TCONS_00019123	ACC vs CB	Human
TCONS_00019159	hsa_TCONS_00019159	ACC vs CB	Human
TCONS_00019321	hsa_TCONS_00019321	ACC vs CB	Human
TCONS_00019338	hsa_TCONS_00019338	ACC vs CB	Human
TCONS_00019344	hsa_TCONS_00019344	ACC vs CB	Human
TCONS_00019483	hsa_TCONS_00019483	ACC vs CB	Human
TCONS_00019503	hsa_TCONS_00019503	ACC vs CB	Human
TCONS_00019789	hsa_TCONS_00019789	ACC vs CB	Human
TCONS_00019881	hsa_TCONS_00019881	ACC vs CB	Human
TCONS_00020054	hsa_TCONS_00020054	ACC vs CB	Human
TCONS_00020074	hsa_TCONS_00020074	ACC vs CB	Human
TCONS_00020077	hsa_TCONS_00020077	ACC vs CB	Human
TCONS_00020284	hsa_TCONS_00020284	ACC vs CB	Human
TCONS_00020386	hsa_TCONS_00020386	ACC vs CB	Human
TCONS_00020462	hsa_TCONS_00020462	ACC vs CB	Human
TCONS_00020816	hsa_TCONS_00020816	ACC vs CB	Human
TCONS_00020821	hsa_TCONS_00020821	ACC vs CB	Human
TCONS_00020852	hsa_TCONS_00020852	ACC vs CB	Human
TCONS_00020892	hsa_TCONS_00020892	ACC vs CB	Human
TCONS_00020955	hsa_TCONS_00020955	ACC vs CB	Human
TCONS_00020984	hsa_TCONS_00020984	ACC vs CB	Human
TCONS_00021000	hsa_TCONS_00021000	ACC vs CB	Human
TCONS_00021230	hsa_TCONS_00021230	ACC vs CB	Human
TCONS_00021260	hsa_TCONS_00021260	ACC vs CB	Human
TCONS_00021279	hsa_TCONS_00021279	ACC vs CB	Human
TCONS_00021289	hsa_TCONS_00021289	ACC vs CB	Human
TCONS_00021314	hsa_TCONS_00021314	ACC vs CB	Human
TCONS_00021370	hsa_TCONS_00021370	ACC vs CB	Human
TCONS_00021490	hsa_TCONS_00021490	ACC vs CB	Human
TCONS_00021585	hsa_TCONS_00021585	ACC vs CB	Human
TCONS_00021597	hsa_TCONS_00021597	ACC vs CB	Human
TCONS_00021606	hsa_TCONS_00021606	ACC vs CB	Human
TCONS_00021819	hsa_TCONS_00021819	ACC vs CB	Human
TCONS_00022018	hsa_TCONS_00022018	ACC vs CB	Human
TCONS_00022039	hsa_TCONS_00022039	ACC vs CB	Human
TCONS_00022051	hsa_TCONS_00022051	ACC vs CB	Human
TCONS_00022178	hsa_TCONS_00022178	ACC vs CB	Human
TCONS_00022216	hsa_TCONS_00022216	ACC vs CB	Human
TCONS_00022227	hsa_TCONS_00022227	ACC vs CB	Human
TCONS_00022228	hsa_TCONS_00022228	ACC vs CB	Human
TCONS_00022230	hsa_TCONS_00022230	ACC vs CB	Human
TCONS_00022291	hsa_TCONS_00022291	ACC vs CB	Human
TCONS_00022438	hsa_TCONS_00022438	ACC vs CB	Human
TCONS_00022527	hsa_TCONS_00022527	ACC vs CB	Human
TCONS_00022533	hsa_TCONS_00022533	ACC vs CB	Human
TCONS_00022560	hsa_TCONS_00022560	ACC vs CB	Human
TCONS_00022642	hsa_TCONS_00022642	ACC vs CB	Human
TCONS_00022756	hsa_TCONS_00022756	ACC vs CB	Human
TCONS_00022778	hsa_TCONS_00022778	ACC vs CB	Human
TCONS_00023071	hsa_TCONS_00023071	ACC vs CB	Human
TCONS_00023075	hsa_TCONS_00023075	ACC vs CB	Human
TCONS_00023076	hsa_TCONS_00023076	ACC vs CB	Human
TCONS_00023079	hsa_TCONS_00023079	ACC vs CB	Human
TCONS_00023083	hsa_TCONS_00023083	ACC vs CB	Human
TCONS_00023088	hsa_TCONS_00023088	ACC vs CB	Human
TCONS_00023143	hsa_TCONS_00023143	ACC vs CB	Human
TCONS_00023149	hsa_TCONS_00023149	ACC vs CB	Human
TCONS_00023203	hsa_TCONS_00023203	ACC vs CB	Human
TCONS_00023362	hsa_TCONS_00023362	ACC vs CB	Human
TCONS_00023412	hsa_TCONS_00023412	ACC vs CB	Human
TCONS_00023428	hsa_TCONS_00023428	ACC vs CB	Human
TCONS_00023498	hsa_TCONS_00023498	ACC vs CB	Human
TCONS_00023527	hsa_TCONS_00023527	ACC vs CB	Human
TCONS_00023544	hsa_TCONS_00023544	ACC vs CB	Human
TCONS_00023739	hsa_TCONS_00023739	ACC vs CB	Human
TCONS_00023740	hsa_TCONS_00023740	ACC vs CB	Human
TCONS_00023742	hsa_TCONS_00023742	ACC vs CB	Human
TCONS_00023770	hsa_TCONS_00023770	ACC vs CB	Human
TCONS_00023791	hsa_TCONS_00023791	ACC vs CB	Human
TCONS_00023810	hsa_TCONS_00023810	ACC vs CB	Human
TCONS_00023819	hsa_TCONS_00023819	ACC vs CB	Human
TCONS_00023820	hsa_TCONS_00023820	ACC vs CB	Human
TCONS_00023886	hsa_TCONS_00023886	ACC vs CB	Human
TCONS_00023888	hsa_TCONS_00023888	ACC vs CB	Human
TCONS_00023929	hsa_TCONS_00023929	ACC vs CB	Human
TCONS_00023944	hsa_TCONS_00023944	ACC vs CB	Human
TCONS_00024019	hsa_TCONS_00024019	ACC vs CB	Human
TCONS_00024028	hsa_TCONS_00024028	ACC vs CB	Human
TCONS_00024104	hsa_TCONS_00024104	ACC vs CB	Human
TCONS_00024139	hsa_TCONS_00024139	ACC vs CB	Human
TCONS_00024199	hsa_TCONS_00024199	ACC vs CB	Human
TCONS_00024400	hsa_TCONS_00024400	ACC vs CB	Human
TCONS_00024401	hsa_TCONS_00024401	ACC vs CB	Human
TCONS_00024657	hsa_TCONS_00024657	ACC vs CB	Human
TCONS_00024721	hsa_TCONS_00024721	ACC vs CB	Human
TCONS_00024829	hsa_TCONS_00024829	ACC vs CB	Human
TCONS_00024835	hsa_TCONS_00024835	ACC vs CB	Human
TCONS_00024862	hsa_TCONS_00024862	ACC vs CB	Human
TCONS_00024947	hsa_TCONS_00024947	ACC vs CB	Human
TCONS_00024949	hsa_TCONS_00024949	ACC vs CB	Human
TCONS_00024968	hsa_TCONS_00024968	ACC vs CB	Human
TCONS_00024973	hsa_TCONS_00024973	ACC vs CB	Human
TCONS_00024974	hsa_TCONS_00024974	ACC vs CB	Human
TCONS_00025076	hsa_TCONS_00025076	ACC vs CB	Human
TCONS_00025191	hsa_TCONS_00025191	ACC vs CB	Human
TCONS_00025211	hsa_TCONS_00025211	ACC vs CB	Human
TCONS_00025216	hsa_TCONS_00025216	ACC vs CB	Human
TCONS_00025229	hsa_TCONS_00025229	ACC vs CB	Human
TCONS_00025320	hsa_TCONS_00025320	ACC vs CB	Human
TCONS_00025395	hsa_TCONS_00025395	ACC vs CB	Human
TCONS_00025493	hsa_TCONS_00025493	ACC vs CB	Human
TCONS_00025501	hsa_TCONS_00025501	ACC vs CB	Human
TCONS_00025518	hsa_TCONS_00025518	ACC vs CB	Human
TCONS_00025553	hsa_TCONS_00025553	ACC vs CB	Human
TCONS_00025676	hsa_TCONS_00025676	ACC vs CB	Human
TCONS_00025678	hsa_TCONS_00025678	ACC vs CB	Human
TCONS_00025788	hsa_TCONS_00025788	ACC vs CB	Human
TCONS_00025803	hsa_TCONS_00025803	ACC vs CB	Human
TCONS_00025855	hsa_TCONS_00025855	ACC vs CB	Human
TCONS_00025857	hsa_TCONS_00025857	ACC vs CB	Human
TCONS_00025861	hsa_TCONS_00025861	ACC vs CB	Human
TCONS_00026040	hsa_TCONS_00026040	ACC vs CB	Human
TCONS_00026049	hsa_TCONS_00026049	ACC vs CB	Human
TCONS_00026057	hsa_TCONS_00026057	ACC vs CB	Human
TCONS_00026222	hsa_TCONS_00026222	ACC vs CB	Human
TCONS_00026238	hsa_TCONS_00026238	ACC vs CB	Human
TCONS_00026242	hsa_TCONS_00026242	ACC vs CB	Human
TCONS_00026272	hsa_TCONS_00026272	ACC vs CB	Human
TCONS_00026281	hsa_TCONS_00026281	ACC vs CB	Human
TCONS_00026287	hsa_TCONS_00026287	ACC vs CB	Human
TCONS_00026324	hsa_TCONS_00026324	ACC vs CB	Human
TCONS_00026344	hsa_TCONS_00026344	ACC vs CB	Human
TCONS_00026447	hsa_TCONS_00026447	ACC vs CB	Human
TCONS_00026515	hsa_TCONS_00026515	ACC vs CB	Human
TCONS_00026520	hsa_TCONS_00026520	ACC vs CB	Human
TCONS_00026523	hsa_TCONS_00026523	ACC vs CB	Human
TCONS_00026539	hsa_TCONS_00026539	ACC vs CB	Human
TCONS_00026580	hsa_TCONS_00026580	ACC vs CB	Human
TCONS_00026587	hsa_TCONS_00026587	ACC vs CB	Human
TCONS_00026590	hsa_TCONS_00026590	ACC vs CB	Human
TCONS_00026591	hsa_TCONS_00026591	ACC vs CB	Human
TCONS_00026606	hsa_TCONS_00026606	ACC vs CB	Human
TCONS_00026647	hsa_TCONS_00026647	ACC vs CB	Human
TCONS_00026670	hsa_TCONS_00026670	ACC vs CB	Human
TCONS_00026679	hsa_TCONS_00026679	ACC vs CB	Human
TCONS_00026681	hsa_TCONS_00026681	ACC vs CB	Human
TCONS_00026711	hsa_TCONS_00026711	ACC vs CB	Human
TCONS_00026712	hsa_TCONS_00026712	ACC vs CB	Human
TCONS_00026715	hsa_TCONS_00026715	ACC vs CB	Human
TCONS_00026758	hsa_TCONS_00026758	ACC vs CB	Human
TCONS_00026776	hsa_TCONS_00026776	ACC vs CB	Human
TCONS_00026777	hsa_TCONS_00026777	ACC vs CB	Human
TCONS_00026781	hsa_TCONS_00026781	ACC vs CB	Human
TCONS_00026791	hsa_TCONS_00026791	ACC vs CB	Human
TCONS_00026838	hsa_TCONS_00026838	ACC vs CB	Human
TCONS_00026887	hsa_TCONS_00026887	ACC vs CB	Human
TCONS_00027020	hsa_TCONS_00027020	ACC vs CB	Human
TCONS_00027043	hsa_TCONS_00027043	ACC vs CB	Human
TCONS_00027051	hsa_TCONS_00027051	ACC vs CB	Human
TCONS_00027105	hsa_TCONS_00027105	ACC vs CB	Human
TCONS_00027119	hsa_TCONS_00027119	ACC vs CB	Human
TCONS_00027279	hsa_TCONS_00027279	ACC vs CB	Human
TCONS_00027365	hsa_TCONS_00027365	ACC vs CB	Human
TCONS_00027379	hsa_TCONS_00027379	ACC vs CB	Human
TCONS_00027515	hsa_TCONS_00027515	ACC vs CB	Human
TCONS_00027570	hsa_TCONS_00027570	ACC vs CB	Human
TCONS_00027572	hsa_TCONS_00027572	ACC vs CB	Human
TCONS_00027575	hsa_TCONS_00027575	ACC vs CB	Human
TCONS_00027576	hsa_TCONS_00027576	ACC vs CB	Human
TCONS_00027580	hsa_TCONS_00027580	ACC vs CB	Human
TCONS_00027599	hsa_TCONS_00027599	ACC vs CB	Human
TCONS_00027634	hsa_TCONS_00027634	ACC vs CB	Human
TCONS_00027729	hsa_TCONS_00027729	ACC vs CB	Human
TCONS_00027740	hsa_TCONS_00027740	ACC vs CB	Human
